epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8643,0.56724,2.8464,1.15451,0.59842,0.59685,0.44885,0.39814,1.10133,4.00082,1.22528,2e-05,2e-05,2e-05
2,38.4857,0.63305,1.82161,1.01829,0.58866,0.6,0.43551,0.41149,0.68118,3.92783,0.97858,5.8812e-05,5.8812e-05,5.8812e-05
3,59.4588,0.48699,1.62144,1.03299,0.97681,0.8,0.79535,0.6754,0.49713,2.29884,0.84345,9.604e-05,9.604e-05,9.604e-05
4,80.7602,0.54244,1.55622,0.98494,0.33464,0.6,0.38979,0.33362,0.67692,7.90701,0.94766,0.000131684,0.000131684,0.000131684
5,99.5951,0.47783,1.08633,0.89943,0.18047,0.6,0.1516,0.10197,0.91472,12.2597,1.1064,0.000165744,0.000165744,0.000165744
6,117.592,0.65235,1.86667,1.01079,0.18047,0.6,0.1516,0.10197,0.91472,12.2597,1.1064,0.00019822,0.00019822,0.00019822
7,136.512,0.75718,1.44406,0.99748,0.00769,0.4,0.03341,0.02335,0.85572,133.463,1.12303,0.000229112,0.000229112,0.000229112
8,154.65,0.92051,3.62227,1.05179,0.00372,0.2,0.00453,0.00318,1.11595,6.68442,1.32372,0.00025842,0.00025842,0.00025842
9,171.98,0.68937,1.70304,1.06835,0.00372,0.2,0.00453,0.00318,1.11595,6.68442,1.32372,0.000286144,0.000286144,0.000286144
10,189.53,0.7698,1.95633,1.04209,0.18422,0.8,0.23595,0.15729,0.8718,21.4805,1.26459,0.000312284,0.000312284,0.000312284
11,208.516,1.18558,6.43806,1.33942,0.18422,0.8,0.23595,0.15729,0.8718,21.4805,1.26459,0.00033684,0.00033684,0.00033684
12,227.445,0.7044,4.42679,1.0402,0.00484,0.8,0.00472,0.00309,1.08565,10.5241,1.67314,0.000359812,0.000359812,0.000359812
13,245.41,0.80684,1.92432,1.07094,0.00484,0.8,0.00472,0.00309,1.08565,10.5241,1.67314,0.0003812,0.0003812,0.0003812
14,263.334,0.82932,2.19161,1.05981,0.00484,0.8,0.00472,0.00309,1.08565,10.5241,1.67314,0.000401004,0.000401004,0.000401004
15,281.845,0.94835,2.07771,1.05696,0.11275,0.2,0.0429,0.02565,1.49766,12.4159,1.53449,0.000419224,0.000419224,0.000419224
16,300.125,1.02064,2.25916,1.06151,0.11275,0.2,0.0429,0.02565,1.49766,12.4159,1.53449,0.00043586,0.00043586,0.00043586
17,318.23,0.83972,2.00802,1.06058,0.11275,0.2,0.0429,0.02565,1.49766,12.4159,1.53449,0.000450912,0.000450912,0.000450912
